"attribute","probit","ergm"
"edges",117.288899999998,38.6884000000003
"esp",2271.2823,1696.1874
"ideg",33.5538,42.4466
"odeg",48.2917,61.6122
"dist",86366.259,44782.6216
"gof_stat","probit obs","probit min","probit mean","probit max","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"edges",1031,1003,1041.83,1080,"1031","881","1037.22","1209","0.84",117.288899999998,38.6884000000003,"edges"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"esp0",5,1.3,1,0,5,0.866069428338004,"5","1","4.85","10","1",13.69,0.0225000000000001,"esp"
"esp1",7,6.34,6,1,14,0.975999993134004,"7","2","10.44","25","0.38",0.4356,11.8336,"esp"
"esp10",39,56.09,55,35,79,0.435982377553241,"39","17","38.06","59","0.84",292.0681,0.883599999999996,"esp"
"esp11",45,57.21,57,37,84,0.577831112459154,"45","20","42.2","70","0.7",149.0841,7.83999999999998,"esp"
"esp12",65,57.53,55,38,80,0.733482171349383,"65","29","48.7","66","0.02",55.8009,265.69,"esp"
"esp13",69,59.13,59,40,92,0.652787003895793,"69","33","55.32","85","0.12",97.4169,187.1424,"esp"
"esp14",52,60.81,62,40,83,0.687995391992896,"52","31","60.23","77","0.44",77.6161,67.7328999999999,"esp"
"esp15",63,59.97,59.5,40,85,0.890150874340303,"63","43","64.06","86","0.88",9.18090000000001,1.1236,"esp"
"esp16",63,56.79,57.5,31,76,0.777127859434619,"63","42","65.03","85","0.9",38.5641,4.1209,"esp"
"esp17",73,53.6,53,33,75,0.376539804909981,"73","25","66.5","97","0.6",376.36,42.25,"esp"
"esp18",56,49.87,49.5,31,71,0.779924567674666,"56","34","64.68","94","0.48",37.5769,75.3424000000001,"esp"
"esp19",54,44.47,43,23,66,0.664000932480903,"54","33","61.53","98","0.64",90.8209,56.7009,"esp"
"esp2",5,10.21,10,2,22,0.812282924019093,"5","4","13.2","25","0.08",27.1441,67.24,"esp"
"esp20",50,40.61,40.5,20,82,0.66864057436948,"50","21","55.23","82","0.66",88.1721,27.3529,"esp"
"esp21",30,35.16,34.5,15,52,0.814051295491825,"30","20","47.79","76","0.14",26.6256,316.4841,"esp"
"esp22",33,34.3,33.5,20,59,0.952747783068969,"33","18","41.63","76","0.5",1.68999999999999,74.4769,"esp"
"esp23",35,28.66,28,14,49,0.772589377505347,"35","12","32.07","63","0.84",40.1956,8.5849,"esp"
"esp24",18,23.87,24,10,42,0.789033381347679,"18","9","25.16","46","0.54",34.4569,51.2656,"esp"
"esp25",26,19.01,19,8,33,0.750016345052678,"26","3","19.25","37","0.34",48.8601,45.5625,"esp"
"esp26",23,15.55,15.5,4,28,0.734168693564206,"23","3","14.58","30","0.18",55.5025,70.8964,"esp"
"esp27",15,12.22,12,2,27,0.899163746328987,"15","4","12.07","23","0.56",7.7284,8.5849,"esp"
"esp28",10,9.91,10,1,19,0.996726787299669,"10","2","8.4","17","0.78",0.00809999999999998,2.56,"esp"
"esp29",11,7.99,7,0,16,0.890871397703933,"11","2","7.26","17","0.34",9.0601,13.9876,"esp"
"esp3",19,13.23,13,2,27,0.792544539415902,"19","6","15.99","33","0.64",33.2929,9.0601,"esp"
"esp30",6,5.76,6,1,12,0.991271582414064,"6","2","6.02","12","1",0.0576000000000001,0.000399999999999983,"esp"
"esp31",4,4.36,4,0,16,0.986907700041348,"4","0","0.49","3","0",0.1296,12.3201,"esp"
"esp32",3,3.99,3,0,10,0.964006775623711,"3","0","0.4","2","0",0.9801,6.76,"esp"
"esp33",2,3.37,3,0,9,0.950206654103401,"2","0","0.59","3","0.18",1.8769,1.9881,"esp"
"esp34",0,2.4,2,0,7,0.912887872028601,"0","0","0.47","3","1",5.76,0.2209,"esp"
"esp35",4,2.12,2,0,8,0.931709623432752,"4","0","0.51","3","0",3.5344,12.1801,"esp"
"esp36",0,1.73,1.5,0,6,0.937146549564289,"0","0","0.42","3","1",2.9929,0.1764,"esp"
"esp37",0,1.25,1,0,5,0.954563170875175,"0","0","0.61","3","1",1.5625,0.3721,"esp"
"esp38",0,1.26,1,0,6,0.954200074152652,"0","0","0.39","3","1",1.5876,0.1521,"esp"
"esp39",0,0.9,1,0,5,0.967276959973839,"0","0","0.27","2","1",0.81,0.0729,"esp"
"esp4",16,18.66,18,6,41,0.903494621979479,"16","8","19.3","32","0.68",7.0756,10.89,"esp"
"esp40",0,0.5,0,0,3,0.98181700813308,"0","0","0.17","2","1",0.25,0.0289,"esp"
"esp41",0,0.23,0,0,2,0.991635252866382,"0","0","0.04","1","1",0.0529,0.0016,"esp"
"esp42",0,0.21,0,0,3,0.99236259890914,"0","0","0.03","1","1",0.0441,9e-04,"esp"
"esp43",0,0.08,0,0,2,0.997090475886915,"0","0","0.02","1","1",0.0064,4e-04,"esp"
"esp44",0,0,0,0,0,1,"0","0","0","0","1",0,0,"esp"
"esp45",0,0.01,0,0,1,0.999636308692437,"0","0","0","0","1",1e-04,0,"esp"
"esp46",0,0,0,0,0,1,"0","0","0","0","1",0,0,"esp"
"esp5",13,23.46,22.5,14,45,0.633513683461677,"13","10","21.48","37","0.16",109.4116,71.9104,"esp"
"esp6",23,28.74,28.5,14,48,0.79359871123699,"23","12","22.86","39","1",32.9476,0.0196000000000002,"esp"
"esp7",22,35.63,36,18,55,0.534414133037243,"22","10","26.59","46","0.54",185.7769,21.0681,"esp"
"esp8",27,43.89,44,26,68,0.441371618456633,"27","11","29.04","56","0.86",285.2721,4.1616,"esp"
"esp9",45,49.45,48,32,80,0.839260353693857,"45","15","33.29","55","0.2",19.8025,137.1241,"esp"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"0",0,0,0,0,0,1,"0","0","0.18","2","1",0,0.0324,"ideg"
"1",0,0,0,0,0,1,"0","0","0.4","3","1",0,0.16,"ideg"
"10",2,1.19,1,0,4,0.425799657192433,"2","0","1.15","5","0.56",0.6561,0.7225,"ideg"
"11",1,1.35,1,0,5,0.730753487177148,"1","0","0.88","4","1",0.1225,0.0144,"ideg"
"12",1,1.89,2,0,5,0.381543087630767,"1","0","0.93","4","1",0.7921,0.00489999999999999,"ideg"
"13",1,1.63,1.5,0,4,0.535638315016056,"1","0","1.06","4","1",0.3969,0.00360000000000001,"ideg"
"14",4,1.78,2,0,7,0.0290560269365856,"4","0","1.05","4","0.02",4.9284,8.7025,"ideg"
"15",1,2.09,2,0,5,0.283855437679636,"1","0","1.13","5","1",1.1881,0.0169,"ideg"
"16",0,2.4,2,0,9,0.0182895563205474,"0","0","1.23","4","0.58",5.76,1.5129,"ideg"
"17",1,2.61,3,0,8,0.113428842268951,"1","0","1.56","6","1",2.5921,0.3136,"ideg"
"18",4,2.86,3,0,7,0.262347856407681,"4","0","1.62","5","0.1",1.2996,5.6644,"ideg"
"19",4,2.78,3,0,7,0.230327427475055,"4","0","1.79","5","0.12",1.4884,4.8841,"ideg"
"2",0,0,0,0,0,1,"0","0","0.5","2","1",0,0.25,"ideg"
"20",3,2.64,3,0,6,0.723372236524342,"3","0","1.78","6","0.5",0.1296,1.4884,"ideg"
"21",4,2.57,2,0,8,0.159727128813394,"4","0","2.14","7","0.32",2.0449,3.4596,"ideg"
"22",2,2.35,2,0,7,0.730753487177148,"2","0","2.13","7","1",0.1225,0.0169,"ideg"
"23",2,2.78,2.5,0,8,0.443138849242616,"2","0","2.42","6","1",0.6084,0.1764,"ideg"
"24",2,2.65,2,0,7,0.522766784830787,"2","0","2.51","7","0.94",0.4225,0.2601,"ideg"
"25",1,2.43,2,0,8,0.159727128813394,"1","0","2.65","7","0.42",2.0449,2.7225,"ideg"
"26",3,2.1,2,0,8,0.376216642726351,"3","0","2.7","7","1",0.81,0.0899999999999999,"ideg"
"27",3,1.73,2,0,5,0.211783481607968,"3","0","2.27","7","0.78",1.6129,0.5329,"ideg"
"28",1,1.5,1,0,4,0.622998711048872,"1","0","2.13","6","0.82",0.25,1.2769,"ideg"
"29",1,1.2,1,0,5,0.844107746586765,"1","0","2.3","5","0.56",0.04,1.69,"ideg"
"3",0,0.01,0,0,1,0.99215524792566,"0","0","0.67","3","0.98",1e-04,0.4489,"ideg"
"30",2,1.01,1,0,4,0.330365661796377,"2","0","1.73","7","1",0.9801,0.0729,"ideg"
"31",1,0.82,1,0,3,0.859525868519218,"1","0","2.1","7","0.74",0.0324,1.21,"ideg"
"32",1,0.59,0,0,3,0.686862904930724,"1","0","1.22","4","1",0.1681,0.0484,"ideg"
"33",0,0.51,0,0,3,0.616063639603739,"0","0","0.56","4","1",0.2601,0.3136,"ideg"
"34",0,0.38,0,0,2,0.708687283154195,"0","0","0.21","2","1",0.1444,0.0441,"ideg"
"35",0,0.28,0,0,2,0.783086748965465,"0","0","0.1","1","1",0.0784,0.01,"ideg"
"36",2,0.27,0,0,2,0.0889518514030483,"2","0","0.17","1","0",2.9929,3.3489,"ideg"
"37",0,0.26,0,0,2,0.798233057408155,"0","0","0.04","1","1",0.0676,0.0016,"ideg"
