"attribute","probit","ergm"
"edges",8738.5104,6.15040000000009
"esp",9091.7042,3296.2047
"ideg",47.2366,103.193
"odeg",40.6237,54.7314
"dist",21811.5158,29190.004
"gof_stat","probit obs","probit min","probit mean","probit max","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"edges",1188,1059,1094.52,1131,"1188","1083","1185.52","1261","0.94",8738.5104,6.15040000000009,"edges"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"esp0",1,1.55,1,0,5,0.982799841696979,"1","0","1.42","7","1",0.3025,0.1764,"esp"
"esp1",5,4.35,5,0,11,0.979673164785714,"5","0","6.05","18","0.92",0.4225,1.1025,"esp"
"esp10",23,46.71,46,17,72,0.352690452950075,"23","15","35.31","63","0.2",562.1641,151.5361,"esp"
"esp11",21,55.21,55.5,25,78,0.179932853345888,"21","16","38.42","58","0.04",1170.3241,303.4564,"esp"
"esp12",38,63.25,64,31,86,0.322297213709317,"38","21","43.75","71","0.54",637.5625,33.0625,"esp"
"esp13",56,71.17,72,51,95,0.552088900926826,"56","24","47.9","71","0.38",230.1289,65.61,"esp"
"esp14",60,74.62,74.5,56,95,0.566594589187457,"60","32","52.39","82","0.38",213.7444,57.9121,"esp"
"esp15",65,74.28,73.5,56,95,0.716039505685123,"65","34","57.11","83","0.52",86.1184,62.2521,"esp"
"esp16",70,74.14,74,51,113,0.871085753083556,"70","29","62.02","83","0.38",17.1396,63.6803999999999,"esp"
"esp17",86,69.27,70,47,91,0.511964610158175,"86","39","65.26","89","0.06",279.8929,430.1476,"esp"
"esp18",98,64.88,64,39,103,0.194206236196572,"98","40","71.01","104","0.02",1096.9344,728.4601,"esp"
"esp19",74,54.6,55,28,78,0.446991505018283,"74","49","70.58","95","0.72",376.36,11.6964,"esp"
"esp2",11,7.11,7,1,16,0.878808349199646,"11","4","11.09","19","1",15.1321,0.00809999999999998,"esp"
"esp20",67,50.86,51,34,79,0.526959038323768,"67","43","70.01","99","0.82",260.4996,9.06010000000003,"esp"
"esp21",69,42.18,42,25,71,0.293125891548539,"69","37","66.95","99","0.94",719.3124,4.20249999999999,"esp"
"esp22",65,35.22,34,18,51,0.243083225126273,"65","28","63.03","114","0.96",886.8484,3.8809,"esp"
"esp23",56,29.96,29.5,12,49,0.307389689435306,"56","23","56.07","86","0.96",678.0816,0.00490000000000004,"esp"
"esp24",35,24.7,24,12,40,0.686404755942264,"35","15","45.47","84","0.46",106.09,109.6209,"esp"
"esp25",39,18.73,19,8,34,0.426879730205984,"39","14","35.78","63","0.82",410.8729,10.3684,"esp"
"esp26",24,15.37,15,7,30,0.735153480468497,"24","12","27.35","55","0.84",74.4769,11.2225,"esp"
"esp27",29,12.26,12,4,27,0.511712399472503,"29","7","21.87","48","0.28",280.2276,50.8369,"esp"
"esp28",10,9.48,10,1,19,0.983737898481133,"10","9","18.16","45","0.14",0.2704,66.5856,"esp"
"esp29",8,7.82,7,1,17,0.994370467930672,"8","0","15.94","37","0.14",0.0323999999999999,63.0436,"esp"
"esp3",12,10.11,9.5,2,21,0.940943449328316,"12","5","16.05","31","0.42",3.5721,16.4025,"esp"
"esp30",16,6.61,7,1,18,0.712821984128162,"16","5","14.13","27","0.76",88.1721,3.4969,"esp"
"esp31",9,4.95,5,0,14,0.873864511756739,"9","0","1.81","7","0",16.4025,51.6961,"esp"
"esp32",11,4.34,4,0,10,0.794047521830235,"11","0","1.77","8","0",44.3556,85.1929,"esp"
"esp33",6,3.73,3,0,10,0.929098327425963,"6","0","1.6","5","0",5.1529,19.36,"esp"
"esp34",2,2.89,3,0,7,0.972170505561811,"2","0","1.57","7","0.86",0.7921,0.1849,"esp"
"esp35",4,2.17,2,0,7,0.942814994345858,"4","0","0.98","4","0.04",3.3489,9.1204,"esp"
"esp36",4,1.48,1,0,5,0.921313877991353,"4","0","0.83","4","0.02",6.3504,10.0489,"esp"
"esp37",0,1.07,1,0,4,0.966545090504167,"0","0","0.64","4","1",1.1449,0.4096,"esp"
"esp38",2,0.45,0,0,3,0.95155287968173,"2","0","0.44","2","0.18",2.4025,2.4336,"esp"
"esp39",3,0.17,0,0,2,0.911671702567729,"3","0","0.37","3","0.02",8.0089,6.9169,"esp"
"esp4",24,13.34,13,4,23,0.676056698179662,"24","8","20.13","38","0.5",113.6356,14.9769,"esp"
"esp40",0,0.11,0,0,2,0.996559712518142,"0","0","0.14","2","1",0.0121,0.0196,"esp"
"esp41",0,0.03,0,0,1,0.999061737086656,"0","0","0.2","1","1",9e-04,0.04,"esp"
"esp42",0,0.01,0,0,1,0.99968724563148,"0","0","0.26","1","1",1e-04,0.0676,"esp"
"esp43",0,0,0,0,0,1,"0","0","0.24","1","1",0,0.0576,"esp"
"esp5",13,18.16,18,7,30,0.839712364844586,"13","9","22.94","44","0.1",26.6256,98.8036,"esp"
"esp6",20,23.12,22.5,6,36,0.902663334030668,"20","11","26.28","41","0.38",9.73440000000001,39.4384,"esp"
"esp7",9,26.34,25.5,11,42,0.496699235860188,"9","13","28.76","51","0",300.6756,390.4576,"esp"
"esp8",13,30.5,30,13,50,0.492735751619461,"13","12","30.36","52","0.02",306.25,301.3696,"esp"
"esp9",30,37.22,37,21,60,0.777169795558689,"30","19","32.79","57","0.86",52.1284,7.7841,"esp"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"0",0,0,0,0,0,1,"0","0","0","0","1",0,0,"ideg"
"1",0,0,0,0,0,1,"0","0","0","0","1",0,0,"ideg"
"10",1,0.46,0,0,2,0.629292521965643,"1","0","1.01","4","1",0.2916,1e-04,"ideg"
"11",0,0.91,1,0,3,0.415944381370623,"0","0","0.96","3","0.72",0.8281,0.9216,"ideg"
"12",0,1.13,1,0,4,0.312427117104726,"0","0","0.78","4","0.92",1.2769,0.6084,"ideg"
"13",0,1.14,1,0,4,0.308164221253039,"0","0","1.06","4","0.74",1.2996,1.1236,"ideg"
"14",3,1.5,1,0,5,0.179953940934786,"3","0","0.81","4","0.04",2.25,4.7961,"ideg"
"15",0,1.96,2,0,4,0.0797557144366946,"0","0","1.06","5","0.6",3.8416,1.1236,"ideg"
"16",1,2.03,2,0,6,0.357181393661048,"1","0","0.99","4","1",1.0609,1e-04,"ideg"
"17",2,2.57,2,0,6,0.61037320200113,"2","0","1.02","4","0.48",0.3249,0.9604,"ideg"
"18",1,2.85,3,0,8,0.0981736850172341,"1","0","1.14","5","1",3.4225,0.0196,"ideg"
"19",5,3.26,3,0,7,0.119841227970135,"5","0","1.36","5","0.06",3.0276,13.2496,"ideg"
"2",0,0,0,0,0,1,"0","0","0.02","1","1",0,4e-04,"ideg"
"20",3,3.28,3,0,9,0.802354778266049,"3","0","1.3","5","0.3",0.0783999999999999,2.89,"ideg"
"21",2,3.47,4,0,9,0.18881964535233,"2","0","1.27","4","0.76",2.1609,0.5329,"ideg"
"22",3,3.26,3,0,9,0.816210167754204,"3","0","1.73","5","0.48",0.0675999999999999,1.6129,"ideg"
"23",6,3.12,3,0,7,0.0100378709404272,"6","0","1.83","6","0.02",8.2944,17.3889,"ideg"
"24",4,2.93,3,0,7,0.338816437960483,"4","0","1.91","6","0.2",1.1449,4.3681,"ideg"
"25",1,2.27,2,0,6,0.256252709391754,"1","0","2.5","7","0.6",1.6129,2.25,"ideg"
"26",5,2.07,2,0,6,0.00881314673024098,"5","0","2.9","9","0.32",8.5849,4.41,"ideg"
"27",1,1.41,1,0,5,0.713983202305551,"1","0","2.68","6","0.42",0.1681,2.8224,"ideg"
"28",3,1.3,1,0,5,0.128590638251828,"3","0","3.14","9","1",2.89,0.0196,"ideg"
"29",1,1.08,1,0,5,0.942988285291072,"1","0","3.57","8","0.22",0.00640000000000001,6.6049,"ideg"
"3",0,0,0,0,0,1,"0","0","0.1","2","1",0,0.01,"ideg"
"30",0,0.93,1,0,3,0.405772516693882,"0","0","3.95","10","0.04",0.8649,15.6025,"ideg"
"31",1,1.04,1,0,3,0.971475921067185,"1","1","4.76","10","0.14",0.0016,14.1376,"ideg"
"32",1,0.77,1,0,4,0.837100107719776,"1","0","1.31","5","1",0.0529,0.0961,"ideg"
"33",2,0.79,1,0,3,0.279405054371809,"2","0","0.45","2","0.18",1.4641,2.4025,"ideg"
"34",1,0.89,1,0,4,0.921668322295391,"1","0","0.52","4","0.82",0.0121,0.2304,"ideg"
"35",0,0.61,0,0,3,0.585548539848855,"0","0","0.39","2","1",0.3721,0.1521,"ideg"
"36",1,0.47,0,0,3,0.635654260448319,"1","0","0.25","2","0.46",0.2809,0.5625,"ideg"
"37",1,0.52,0,0,2,0.667859915352497,"1","0","0.22","2","0.4",0.2304,0.6084,"ideg"
"38",0,0.33,0,0,2,0.767995934764968,"0","0","0.15","2","1",0.1089,0.0225,"ideg"
"39",0,0.33,0,0,1,0.767995934764968,"0","0","0.12","1","1",0.1089,0.0144,"ideg"
"4",0,0.01,0,0,1,0.992867555630766,"0","0","0.25","2","1",1e-04,0.0625,"ideg"
"40",1,0.13,0,0,1,0.436733992587672,"1","0","0.06","1","0.12",0.7569,0.8836,"ideg"
"41",0,0.07,0,0,1,0.950104788644706,"0","0","0.05","1","1",0.0049,0.0025,"ideg"
"42",0,0.05,0,0,1,0.964349174012791,"0","0","0.1","1","1",0.0025,0.01,"ideg"
"43",0,0.01,0,0,1,0.992867555630766,"0","0","0.12","1","1",1e-04,0.0144,"ideg"
"44",0,0,0,0,0,1,"0","0","0.34","1","1",0,0.1156,"ideg"
"5",0,0.03,0,0,1,0.978604946501197,"0","0","0.38","2","1",9e-04,0.1444,"ideg"
"6",0,0.09,0,0,1,0.935876329965889,"0","0","0.53","3","1",0.0081,0.2809,"ideg"
"7",0,0.19,0,0,1,0.865130513599191,"0","0","0.82","3","0.78",0.0361,0.6724,"ideg"
"8",0,0.26,0,0,2,0.816210167754203,"0","0","0.82","3","0.76",0.0676,0.6724,"ideg"
"9",0,0.48,0,0,3,0.667859915352497,"0","0","0.89","2","0.74",0.2304,0.7921,"ideg"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"0",2,4.25,4,4,5,0.000106159526803468,"2","0","0.02","1","0",5.0625,3.9204,"odeg"
"1",1,0.59,0,0,3,0.479998423718688,"1","0","0.06","1","0.12",0.1681,0.8836,"odeg"
"10",0,1.52,1,0,5,0.00883180813604462,"0","0","1.38","4","0.5",2.3104,1.9044,"odeg"
"11",3,1.22,1,0,5,0.00216654900841293,"3","0","1.13","4","0.24",3.1684,3.4969,"odeg"
"12",0,0.82,1,0,3,0.157770369412343,"0","0","1.02","5","0.7",0.6724,1.0404,"odeg"
"13",0,0.83,1,0,3,0.152763764007531,"0","0","0.77","3","0.96",0.6889,0.5929,"odeg"
"14",1,0.42,0,0,3,0.317715586470738,"1","0","1.02","5","1",0.3364,0.000400000000000001,"odeg"
"15",0,0.65,0,0,3,0.2628194655484,"0","0","0.93","3","0.8",0.4225,0.8649,"odeg"
"16",0,0.43,0,0,3,0.458839575528854,"0","0","1.07","5","0.58",0.1849,1.1449,"odeg"
"17",0,0.68,1,0,3,0.241424836212907,"0","0","0.96","5","0.72",0.4624,0.9216,"odeg"
"18",1,0.85,1,0,3,0.796094895121406,"1","0","1.06","5","1",0.0225,0.00360000000000001,"odeg"
"19",2,1.01,1,0,3,0.0881070995220679,"2","0","1.16","5","0.66",0.9801,0.7056,"odeg"
"2",0,0.79,1,0,3,0.173536021926115,"0","0","0.16","1","1",0.6241,0.0256,"odeg"
"20",2,1.06,1,0,3,0.105375496513669,"2","0","1.19","5","0.66",0.8836,0.6561,"odeg"
"21",1,0.97,1,0,4,0.958782987697412,"1","0","1.21","5","1",0.000900000000000002,0.0441,"odeg"
"22",1,0.77,1,0,3,0.691942787627191,"1","0","1.24","5","1",0.0529,0.0576,"odeg"
"23",0,1.05,1,0,4,0.0704773979589542,"0","0","1.34","4","0.46",1.1025,1.7956,"odeg"
"24",1,0.96,1,0,4,0.945062998277263,"1","0","1.32","4","1",0.0016,0.1024,"odeg"
"25",0,0.87,1,0,3,0.133939807080042,"0","0","1.92","5","0.3",0.7569,3.6864,"odeg"
"26",0,1.15,1,0,5,0.0475800978203108,"0","0","1.85","7","0.36",1.3225,3.4225,"odeg"
"27",2,1.18,1,0,4,0.157770369412343,"2","0","1.79","5","1",0.6724,0.0441,"odeg"
"28",2,1.27,1,0,4,0.208548172082348,"2","0","1.57","4","0.96",0.5329,0.1849,"odeg"
"29",2,1.15,1,0,4,0.14311443962147,"2","0","2.07","6","1",0.7225,0.00489999999999998,"odeg"
"3",1,1,1,0,3,1,"1","0","0.45","3","0.76",0,0.3025,"odeg"
"30",1,1.21,1,0,4,0.71752688239222,"1","0","1.84","8","0.86",0.0441,0.7056,"odeg"
"31",1,1.2,1,0,4,0.73044091721215,"1","0","2.19","5","0.62",0.04,1.4161,"odeg"
"32",0,1.41,1,0,4,0.0151405131562839,"0","0","2.19","5","0.22",1.9881,4.7961,"odeg"
"33",3,1.49,1,0,5,0.00928793233730267,"3","0","2.01","6","0.64",2.2801,0.9801,"odeg"
"34",1,1.39,1,0,5,0.501678435831854,"1","0","1.47","5","1",0.1521,0.2209,"odeg"
"35",3,1.28,1,0,4,0.00304620919044768,"3","0","1.01","4","0.16",2.9584,3.9601,"odeg"
"36",0,1.1,1,0,4,0.0580970523206843,"0","0","0.76","5","0.9",1.21,0.5776,"odeg"
"37",1,0.8,1,0,4,0.73044091721215,"1","0","0.78","3","1",0.04,0.0484,"odeg"
"38",0,0.73,1,0,3,0.208548172082348,"0","0","0.6","4","1",0.5329,0.36,"odeg"
"39",1,0.73,1,0,3,0.641839976419207,"1","0","0.62","2","1",0.0729,0.1444,"odeg"
"4",2,1.16,1,0,3,0.147878970604774,"2","0","0.63","3","0.22",0.7056,1.8769,"odeg"
"40",1,0.44,0,0,2,0.334690384580627,"1","0","0.31","2","0.58",0.3136,0.4761,"odeg"
"41",0,0.34,0,0,2,0.558066095993907,"0","0","0.34","3","1",0.1156,0.1156,"odeg"
"42",0,0.34,0,0,1,0.558066095993907,"0","0","0.3","3","1",0.1156,0.09,"odeg"
"43",0,0.35,0,0,3,0.546546358560811,"0","0","0.17","2","1",0.1225,0.0289,"odeg"
"44",0,0.48,0,0,2,0.408297272950861,"0","0","0.14","2","1",0.2304,0.0196,"odeg"
"45",2,0.73,1,0,3,0.0286824899165277,"2","0","0.1","1","0",1.6129,3.61,"odeg"
"46",1,0.71,1,0,3,0.617369677969975,"1","0","0.04","1","0.08",0.0841,0.9216,"odeg"
"47",0,0.87,1,0,3,0.133939807080042,"0","0","0.38","2","1",0.7569,0.1444,"odeg"
"48",2,1.15,1,0,3,0.14311443962147,"2","0","0.94","2","0.46",0.7225,1.1236,"odeg"
"49",0,0,0,0,0,1,"2","0","0.63","2","0.28",0,1.8769,"odeg"
"5",1,1.14,1,0,4,0.809417664470687,"1","0","0.91","5","1",0.0196,0.00809999999999999,"odeg"
"6",1,1.06,1,0,4,0.917675891061221,"1","0","1.26","5","1",0.00360000000000001,0.0676,"odeg"
"7",0,1.13,1,0,4,0.0515772187271973,"0","0","1.15","4","0.58",1.2769,1.3225,"odeg"
"8",3,1.07,1,0,3,0.000884813331124194,"3","0","1.06","4","0.14",3.7249,3.7636,"odeg"
"9",2,1.41,1,0,5,0.309443580475407,"2","0","1.48","5","0.8",0.3481,0.2704,"odeg"
"gof_stat","probit obs","probit mean","probit median","probit min","probit max","probit MC p-value","ergm obs","ergm min","ergm mean","ergm max","ergm MC p-value","probit_error","ergm_error","gof_attribute"
"1",1188,1094.52,1093.5,1059,1131,0.864437507853114,"1188","1083","1185.52","1261","0.94",8738.5104,6.15040000000009,"dist"
"2",1115,1121.1,1121,1045,1174,0.991111112571984,"1115","1157","1251.04","1367","0",37.2099999999989,18506.8816,"dist"
"3",48,24.32,19.5,0,89,0.965503670672682,"48","0","12.46","46","0",560.7424,1263.0916,"dist"
"4",1,0.37,0,0,15,0.999081948575883,"1","0","0","0","0",0.3969,1,"dist"
"5",0,0,0,0,0,1,"0","0","0","0","1",0,0,"dist"
"Inf",98,209.69,196,196,245,0.838364284170767,"98","0","0.98","49","0",12474.6561,9412.8804,"dist"
